1; 16; 48
8; 20; 115
17; 16; 112
10; 1; 152
17; 6; 185
15; 5; 54
13; 9; 62
19; 7; 140
19; 18; 171
1; 9; 113
14; 19; 124
16; 1; 57
20; 8; 24
4; 15; 112
7; 12; 192
8; 19; 60
3; 15; 154
6; 20; 61
14; 13; 130
5; 9; 38
1; 10; 75
2; 3; 60
4; 9; 69
18; 5; 44
14; 2; 189
1; 5; 97
5; 19; 41
8; 18; 42
10; 7; 61
3; 10; 28
19; 1; 52
16; 11; 44
13; 14; 156
6; 9; 111
9; 16; 157
15; 3; 122
1; 18; 181
9; 8; 113
4; 14; 137
19; 16; 128
14; 12; 69
18; 12; 127
5; 18; 72
12; 2; 53
13; 18; 189
19; 11; 155
12; 20; 184
4; 7; 69
14; 9; 22
14; 20; 108
7; 3; 27
5; 7; 170
11; 10; 64
10; 11; 6
19; 9; 182
20; 13; 169
3; 9; 170
9; 1; 118
20; 16; 129
8; 3; 96
19; 13; 17
20; 5; 132
10; 16; 186
8; 2; 51
7; 6; 192
11; 5; 84
5; 1; 81
12; 18; 72
8; 12; 176
16; 15; 98
12; 15; 73
2; 1; 47
3; 1; 103
20; 4; 21
20; 15; 146
16; 13; 90
12; 17; 42
18; 13; 186
6; 5; 143
9; 17; 6
5; 10; 152
9; 5; 166
13; 12; 183
13; 11; 67
13; 10; 15
3; 6; 27
8; 4; 64
20; 12; 36
10; 15; 161
17; 18; 64
10; 18; 146
11; 3; 102
1; 2; 3
8; 14; 120
6; 2; 160
19; 15; 15
15; 18; 149
5; 11; 180
13; 17; 94
14; 4; 49
